# ----------------------------------------
# イベント: イベント名
# アカウント: 株式会社 コモンウェルスエンジニアーズ
# プロパティ: cectokyo.com
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20251101
# 終了日: 20251130
イベント名,イベント数,総ユーザー数,アクティブ ユーザーあたりのイベント数,合計収益
page_view,1666,952,1.7518401682439537,0
user_engagement,1336,732,1.825136612021858,0
session_start,1051,952,1.1051524710830705,0
first_visit,931,927,1.0043149946062568,0
scroll,237,154,1.5389610389610389,0
form_start,70,60,1.1666666666666667,0
contact,18,18,1,0
form_submit,17,8,2.125,0
view_search_results,11,4,2.75,0
click,2,2,1,0
file_download,1,1,1,0
